Number and Percentage of Vacancies by Type of Unit,Bachelor,1 - Bedroom,2 - Bedroom,3 - Bedroom,4+ Bedroom
Number of Units,1,36,55,5,0
Vacancies,0,21,35,0,0
Percentage,0.0000,0.5830,0.6360,0.0000,0.0000
