"Census Subdivision (Municipal) Population Estimates, July 1, 2016 to 2024, Alberta",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Census Division,Census Subdivision,Area Name,Type,2016,2017,2018,2019,2020,2021,2022,2023,2024
4805,4805044,Acme,VL,667,597,620,647,644,617,628,640,652
4805,4805046,Linden,VL,839,764,832,802,776,768,784,840,902
4805,4805048,Three Hills,T,3272,3270,3223,3217,3235,3264,3322,3419,3466
4805,4805049,Trochu,T,1071,976,970,966,951,1024,1030,1055,1179
4805,4805802,Siksika 146,IRI,3575,3611,3599,3634,3632,3688,3659,3651,3621
4806,4806001,Foothills County2 4 5 *,MD,23202,23484,23584,23761,23723,23851,24119,24549,25138
4806,4806006,High River5 *,T,13889,13988,14116,14046,14109,14740,14996,15265,15445
4806,4806008,Longview,VL,314,277,274,253,253,306,307,308,309
4806,4806009,Turner Valley7 *,T,2628,2626,2665,2691,2705,2686,2768,--,--
4806,4806010,Diamond Valley7 *,T,--,--,--,--,--,--,--,5678,5697
4806,4806011,Black Diamond4 7 *,T,2763,2715,2727,2676,2721,2804,2825,--,--
4806,4806012,Okotoks2 *,T,29709,29969,30263,30412,30846,31386,31913,32492,33096
4806,4806014,Rocky View County,MD,40373,40815,41227,41653,41891,42378,43700,45062,46581
4806,4806016,Calgary,CY,1278707,1289970,1306586,1330058,1351294,1356293,1395040,1478430,1569133
4806,4806017,Chestermere,CY,20620,21214,21509,21931,22326,23005,24338,26254,28938
4806,4806019,Cochrane,T,26860,28237,29694,31013,32087,33295,34697,36292,38014
4806,4806021,Airdrie,CY,63984,67157,69841,72412,74521,77079,80120,83756,88471
4806,4806022,Irricana,T,1254,1205,1184,1160,1156,1221,1233,1238,1255
4806,4806024,Beiseker,VL,835,745,727,742,744,774,797,800,792
4806,4806026,Crossfield,T,3065,3114,3215,3295,3397,3727,3889,3941,4045
4806,4806028,Mountain View County6 *,MD,13376,13251,13310,13489,13523,13368,13296,13510,13689
4806,4806029,Carstairs,T,4207,4353,4501,4631,4716,5055,5181,5192,5207
4806,4806031,Cremona,VL,456,402,410,383,382,453,457,461,465
4806,4806032,Didsbury,T,5389,5331,5340,5261,5173,5219,5172,5185,5202
4806,4806034,Olds6 *,T,9420,9348,9361,9414,9416,9473,9635,9682,9998
4806,4806036,Sundre,T,2796,2751,2722,2663,2574,2751,2744,2732,2730
4806,4806803,Eden Valley 216,IRI,617,569,585,588,596,625,628,623,621
4806,4806804,Tsuu T'ina Nation 145 (Sarcee 145),IRI,2330,2247,2225,2244,2461,2381,2414,2465,2500
4807,4807001,Provost No. 52,MD,2249,2218,2175,2214,2221,2123,2125,2113,2080
4807,4807002,Provost,T,2043,2079,2027,1994,1957,1957,1924,1895,1915
4807,4807004,Czar,VL,207,178,181,175,181,257,264,271,279
4807,4807006,Hughenden,VL,249,204,199,203,194,219,215,211,208
4807,4807008,Amisk,VL,209,177,182,188,187,225,223,226,215
4807,4807011,Paintearth County No. 18,MD,2156,2111,2112,2110,2103,2046,2058,2028,1986
4807,4807012,Coronation,T,949,886,900,878,884,888,908,906,897
4807,4807014,Castor,T,943,844,836,826,829,824,864,865,886
