"Census Subdivision (Municipal) Population Estimates, July 1, 2016 to 2024, Alberta",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Census Division,Census Subdivision,Area Name,Type,2016,2017,2018,2019,2020,2021,2022,2023,2024
4815,4815032,Improvement District No. 9 Banff,ID,1073,1054,1065,1058,1010,1047,1066,1099,1100
4815,4815033,Jasper,SM,4752,4872,4875,4802,4716,4933,4773,4851,4780
4815,4815035,Banff,T,8151,8427,8684,9022,9311,8574,9347,10341,10944
4815,4815037,Improvement District No. 12 Jasper Park,ID,54,40,27,34,31,0,0,0,0
4815,4815045,Ranchland No. 66,MD,94,81,81,75,79,113,108,103,99
4815,4815802,"Stoney 142, 143, 144",IRI,3834,3789,3876,3983,4115,3881,3865,3907,3881
4815,4815815,Stoney 142B,IRI,10,8,6,4,2,11,11,11,11
4816,4816037,Wood Buffalo1 8 *,SM,73661,72349,73463,74617,75414,75282,75122,76820,80568
4816,4816051,Improvement District No. 24 Wood Buffalo,ID,669,634,655,676,702,739,760,783,775
4816,4816810,Fort Mckay 1741 *,IRI,--,656,657,654,659,643,639,639,669
4816,4816817,Janvier 1941 *,IRI,430,358,367,369,375,373,373,373,376
4816,4816821,Gregoire Lake 176,IRI,194,175,165,162,165,210,210,210,239
4816,4816822,Gregoire Lake 176A,IRI,133,111,110,116,114,134,134,134,132
4816,4816831,Chipewyan 201A5 *,IRI,0,0,0,0,0,--,--,--,--
4816,4816849,Old Fort 217,IRI,0,0,0,0,0,0,0,0,0
4816,4816850,Allison Bay 219,IRI,129,101,105,102,107,117,117,117,117
4816,4816852,Dog Head 218,IRI,100,84,85,84,81,87,87,86,88
4816,4816859,Fort Mackay1 *,S-É,760,--,--,--,--,--,--,--,--
4816,4816860,Thebathi 1961 *,IRI,20,18,18,20,17,16,16,16,16
4816,4816861,Thabacha Náre 196A,IRI,27,23,22,24,20,29,29,29,29
4816,4816862,Chipewyan 201A 8 *,IRI,--,--,--,--,--,--,--,--,30
4817,4817021,High Prairie,T,2631,2653,2618,2599,2504,2463,2474,2458,2570
4817,4817024,Swan Hills,T,1327,1297,1310,1276,1243,1239,1301,1338,1366
4817,4817026,Northern Sunrise County1 *,MD,1938,1953,1880,1836,1798,1764,1765,1827,1820
4817,4817027,Big Lakes County,MD,5791,5728,5718,5679,5602,5132,5054,5033,4982
4817,4817029,Slave Lake,T,6887,7185,7110,7058,6967,7109,6934,6944,7110
4817,4817031,Opportunity No. 171 *,MD,3264,3430,3460,3477,3448,3500,3422,3411,3491
4817,4817033,Lesser Slave River No.124,MD,2862,2941,2909,2908,2873,2941,2895,2922,2943
4817,4817039,Nampa,VL,373,333,317,340,337,381,395,410,425
4817,4817062,Clear Hills1 *,MD,3096,3103,3145,3222,3198,3100,3080,3084,3086
4817,4817064,Hines Creek,VL,354,303,309,297,272,345,350,356,359
4817,4817076,Northern Lights County,MD,4295,4426,4408,4405,4331,4248,4156,4104,4080
4817,4817078,Manning,T,1215,1153,1162,1144,1104,1161,1150,1149,1133
4817,4817093,High Level,T,3256,3511,3468,3523,3560,4051,3937,3982,4134
4817,4817095,Mackenzie County,SM,11492,12252,12582,12879,13164,13279,13557,13735,14055
4817,4817097,Rainbow Lake,T,810,697,653,650,600,508,502,474,450
4817,4817817,Jean Baptiste Gambler 1831 *,IRI,263,204,206,204,202,216,215,215,215
4817,4817818,Wabasca 166,IRI,165,138,140,140,140,162,164,164,165
4817,4817819,Wabasca 166A1 *,IRI,674,537,542,565,575,575,574,575,581
4817,4817821,Wabasca 166B,IRI,196,151,149,148,149,94,91,91,92
4817,4817822,Wabasca 166C,IRI,193,163,162,157,164,183,183,183,185
4817,4817823,Wabasca 166D,IRI,988,922,874,891,872,661,668,667,660
4817,4817824,Utikoomak Lake 155,IRI,744,726,750,769,795,832,830,838,845
4817,4817825,Clear Hills 152C1 *,IRI,0,4,3,2,1,6,6,6,6
4817,4817826,Kapawe'no First Nation 231,IRI,,25,22,17,9,5,5,6,5
4817,4817827,Utikoomak Lake 155A,IRI,131,108,108,111,111,123,121,122,122
4817,4817828,Drift Pile River 150,IRI,850,802,817,821,822,800,794,793,795
4817,4817829,Sucker Creek 150A,IRI,706,664,670,683,695,726,717,719,734
4817,4817830,Kapawe'no First Nation (Pakashan 150D),IRI,5,5,5,4,3,5,5,5,6
4817,4817831,Swan River 150E,IRI,425,370,379,375,382,413,424,432,429
4817,4817832,Sawridge 150G,IRI,20,21,21,21,22,42,40,40,40
4817,4817833,Sawridge 150H,IRI,10,9,10,10,9,10,9,9,9
4817,4817834,Peerless Trout 238,IRI,0,0,0,0,0,0,0,0,0
4817,4817835,Fox Lake 162,IRI,2094,2212,2300,2389,2474,2588,2639,2674,2690
4817,4817836,Kapawe'no First Nation (Freeman 150B),IRI,159,114,110,111,110,44,44,44,44
4817,4817837,John d'Or Prairie 215,IRI,1232,1089,1094,1136,1153,730,742,753,776
4817,4817838,Tall Cree 173,IRI,257,227,246,246,259,293,292,293,292
4817,4817840,Tall Cree 173A,IRI,231,195,199,202,197,209,210,211,211
4817,4817841,Beaver Ranch 163,IRI,10,10,7,10,10,15,15,15,15
4817,4817842,Boyer 164,IRI,224,171,175,173,165,126,126,123,124
4817,4817843,Child Lake 164A,IRI,221,171,176,175,176,178,179,178,177
4817,4817845,Hay Lake 209,IRI,913,914,908,896,885,992,975,956,942
4817,4817848,Bushe River 207,IRI,517,476,488,490,505,507,502,502,502
4817,4817849,Upper Hay River 212,IRI,303,294,293,286,293,391,389,380,375
4817,4817850,Woodland Cree 227,IRI,,13,12,9,7,31,31,32,32
4817,4817853,Little Buffalo,S-É,466,417,425,439,455,455,446,452,455
4817,4817854,Carcajou 187,S-É,0,0,0,0,0,0,0,0,0
4817,4817855,Desmarais1 *,S-É,109,93,89,84,86,121,118,115,117
4817,4817856,Woodland Cree 2261 *,IRI,745,663,658,654,667,678,675,669,685
4817,4817857,Woodland Cree 228,IRI,154,132,131,136,137,166,166,164,164
4817,4817859,Fort Vermilion 173B,IRI,99,81,78,78,77,77,77,77,78
4817,4817860,Loon Lake 2351 *,IRI,574,504,511,511,529,509,493,489,498
4817,4817865,Kapawe'no 229,IRI,,13,13,12,11,101,100,98,99
4818,4818002,Fox Creek,T,2003,2007,1933,1869,1763,1850,1841,1883,1897
4818,4818005,Grande Cache3 *,T,3628,3436,3393,--,--,--,--,--,--
4818,4818015,Greenview No. 163 *,MD,5664,5726,5723,9125,9069,8868,8868,8735,8715
4818,4818018,Valleyview,T,1894,1786,1787,1755,1720,1724,1694,1725,1752
4818,4818816,Sturgeon Lake 154,IRI,1474,1420,1432,1411,1401,1334,1339,1325,1320
4818,4818818,Sturgeon Lake 154A,IRI,55,45,48,48,48,40,40,40,40
4819,4819006,Grande Prairie County No. 16 *,MD,23120,23573,23877,24304,24550,24550,25624,25925,26343
4819,4819008,Hythe6 *,VL,844,736,748,739,700,875,--,--,--
4819,4819009,Beaverlodge,T,2524,2485,2453,2442,2407,2342,2371,2371,2445
4819,4819011,Wembley,T,1560,1462,1508,1550,1542,1501,1529,1500,1512
4819,4819012,Grande Prairie,CY,65213,65817,67655,68222,68317,66586,65614,67279,69377
4819,4819014,Sexsmith,T,2698,2608,2694,2752,2723,2511,2506,2455,2483
4819,4819038,Peace River,T,7044,6930,6865,6745,6745,6853,6741,6882,7102
4819,4819041,Smoky River No. 1301 *,MD,2079,2000,1990,1977,1951,1960,1906,1890,1893
4819,4819042,McLennan,T,713,655,645,621,610,715,719,705,729
4819,4819044,Donnelly1 *,VL,352,318,299,300,307,349,347,345,343
4819,4819046,Falher,T,1068,991,986,1012,1016,1037,1034,1050,1093
4819,4819048,Girouxville,VL,224,199,205,201,199,287,287,291,300
4819,4819049,Birch Hills County,MD,1581,1519,1505,1506,1496,1567,1557,1547,1529
4819,4819054,Spirit River No. 133,MD,715,641,680,683,708,666,669,653,663
4819,4819056,Rycroft,VL,624,578,538,531,535,568,574,602,619
4819,4819058,Spirit River,T,1018,995,992,967,930,1022,998,1012,985
4819,4819059,Saddle Hills County,MD,2274,2255,2230,2227,2224,2414,2464,2484,2495
4819,4819066,Fairview No. 136,MD,1638,1586,1551,1546,1554,1626,1603,1615,1629
4819,4819068,Fairview,T,3067,3028,2963,2928,2892,2912,2914,2879,2880
4819,4819071,Peace No. 1351 *,MD,1793,1712,1714,1710,1711,1620,1603,1580,1572
4819,4819072,Berwyn,VL,550,505,481,491,492,595,598,589,593
4819,4819074,Grimshaw,T,2794,2736,2737,2678,2618,2687,2652,2598,2646
4819,4819815,Horse Lakes 152B,IRI,482,463,460,455,460,504,505,509,515
4819,4819826,Duncan's 151A,IRI,154,120,125,126,115,115,116,115,115
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Sources:," Alberta Office of Statistics and Information, Demography and Social Statistics",,,,,,,,,,,
,"Last Updated: January 16, 2024",,,,,,,,,,,
,,,,,,,,,,,,
Notes:,Postcensal estimates are based on the 2021 census counts adjusted for census net undercoverage (including adjustment for incompletely enumerated Indian reserves) and on the estimated population growth that occurred since.,,,,,,,,,,,
,All estimates subject to revision.,,,,,,,,,,,
,"Estimates refer to municipal boundaries as of January 1st of the year referenced. As such, some estimates reflect changes to geographic boundaries as well as population change. Two types of boundary adjustments are accounted for: dissolutions/amalglamations, where one municipality ceases to exist as a municipality and is amalglamated into the surrounding CSD, and annexations or boundary corrections, where part of a CSD is allocated elsewhere.",,,,,,,,,,,
,Any discrepancies between Statistics Canada's estimates and the Alberta Office of Statistics and Information are due to different boundaries - see below.,,,,,,,,,,,
,"1 Boundary adjustment as of January 1, 2017",,,,,,,,,,,
,"2 Boundary adjustment as of January 1, 2018",,,,,,,,,,,
,"3 Boundary adjustment as of January 1, 2019",,,,,,,,,,,
,"4 Boundary adjustment as of January 1, 2020",,,,,,,,,,,
,"5 Boundary adjustment as of January 1, 2021",,,,,,,,,,,
,"6 Boundary adjustment as of January 1, 2022",,,,,,,,,,,
,"7 Boundary adjustment as of January 1, 2023",,,,,,,,,,,
,"8 Boundary adjustment as of January 1, 2024",,,,,,,,,,,
,"* Due to boundary change in year stated, annual growth against previous year in this region should be used with caution",,,,,,,,,,,
,,,,,,,,,,,,
Caution:," Population estimates for CSDs sometimes consist of small numbers. Estimates with such a high degree of detail may show a level of uncertainty that is more important. Thus, estimates for smaller numbers should be interpreted with caution.",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
