Breton,583,576
Drayton Valley,7545,7482
Brazeau County,7410,7427
Parkland County5 *,33151,33284
Seba Beach,232,233
Betula Beach,28,28
Point Alison,18,18
Lakeview,29,28
Kapasiwin,24,26
Wabamun5 *,--,--
Spring Lake,733,762
Stony Plain,18556,18737
Spruce Grove5 *,39068,39962
Strathcona County4 *,102426,103185
Fort Saskatchewan4 *,28567,28969
Sturgeon County6 *,20733,20785
Edmonton3 *,1050945,1073454
St. Albert6 *,70389,70773
Gibbons,3332,3305
Redwater,2189,2185
Bon Accord,1514,1524
Morinville,10753,10763
Legal,1276,1295
Ermineskin 138,2340,2309
Pigeon Lake 138A 8 *,299,298
Louis Bull 138B,1370,1382
Stony Plain 135,1897,1918
Alexander 134,1112,1112
Wabamun 133A,1018,1014
Wabamun 133B,21,22
Cold Lake3 *,16345,16361
Bonnyville No. 87 1 3 6 *,13250,13139
Bonnyville 1 *,6624,6632
Bonnyville Beach,72,70
Glendon,533,534
Pelican Narrows,161,161
St. Paul County No. 19,6477,6430
Elk Point,1442,1455
St. Paul,6052,5805
Horseshoe Bay,84,85
Smoky Lake County,3983,3980
Vilna,274,274
Waskatenau,256,272
Smoky Lake,1052,1074
Lac la Biche County,8365,8309
Improvement District No. 3496 *,15,15
Unipouheos 121,903,914
Puskiakiwenin 122,583,582
Saddle Lake 125,3912,3902
White Fish Lake 128,1130,1125
Cold Lake 149,687,687
Kehewin 123,1065,1055
Cold Lake 149A,70,70
Cold Lake 149B,186,187
Beaver Lake 131,416,409
Heart Lake 167,219,218
Lac Ste. Anne County,11629,11881
Mayerthorpe,1379,1359
Nakamun Park,79,78
Val Quentin,161,164
West Cove,228,245
Yellowstone,121,119
Ross Haven,129,126
Castle Island,15,15
Silver Sands,219,227
Sunset Point,263,265
Alberta Beach,887,870
Birch Cove,68,68
Onoway,995,1020
South View,73,71
Sandy Beach,285,284
Sunrise Beach,157,160
Barrhead County No. 11,6047,6086
Barrhead,4437,4503
Westlock County,7385,7420
Woodlands County4 *,4691,4693
Whitecourt4 *,10308,10090
Westlock,5053,5022
Clyde,428,403
Larkspur,54,56
Thorhild County,3128,3089
Athabasca County,7153,7097
Mewatha Beach,104,105
Boyle,849,848
Sunset Beach,56,62
Athabasca,2842,2827
Island Lake,178,171
Island Lake South,84,82
Bondiss,126,127
South Baptiste,71,77
West Baptiste,47,45
Whispering Hills,131,131
Alexis 133,800,799
Alexander 134B,5,5
Alexis Whitecourt 232,0,0
Yellowhead County,10722,10787
Hinton,10170,9933
Edson,8655,8399
Improvement District No. 25 Willmore Wilderness,0,0
Crowsnest Pass,5880,5910
Kananaskis,163,152
Bighorn No. 8,1646,1658
Canmore,16629,16817
Ghost Lake,83,83
Waiparous,58,58
Improvement District No. 9 Banff,1047,1066
Jasper,4933,4773
Banff,8574,9347
Improvement District No. 12 Jasper Park,0,0
Ranchland No. 66,113,108
"Stoney 142, 143, 144",3881,3865
Stoney 142B,11,11
Wood Buffalo1 8 *,75282,75122
Improvement District No. 24 Wood Buffalo,739,760
Fort Mckay 1741 *,643,639
Janvier 1941 *,373,373
Gregoire Lake 176,210,210
Gregoire Lake 176A,134,134
Chipewyan 201A5 *,--,--
Old Fort 217,0,0
Allison Bay 219,117,117
Dog Head 218,87,87
Fort Mackay1 *,--,--
Thebathi 1961 *,16,16
Thabacha N�re 196A,29,29
Chipewyan 201A 8 *,--,--
High Prairie,2463,2474
Swan Hills,1239,1301
Northern Sunrise County1 *,1764,1765
Big Lakes County,5132,5054
Slave Lake,7109,6934
Opportunity No. 171 *,3500,3422
Lesser Slave River No.124,2941,2895
Nampa,381,395
Clear Hills1 *,3100,3080
Hines Creek,345,350
Northern Lights County,4248,4156
Manning,1161,1150
High Level,4051,3937
Mackenzie County,13279,13557
Rainbow Lake,508,502
Jean Baptiste Gambler 1831 *,216,215
Wabasca 166,162,164
Wabasca 166A1 *,575,574
Wabasca 166B,94,91
Wabasca 166C,183,183
Wabasca 166D,661,668
Utikoomak Lake 155,832,830
Clear Hills 152C1 *,6,6
Kapawe'no First Nation 231,5,5
Utikoomak Lake 155A,123,121
Drift Pile River 150,800,794
Sucker Creek 150A,726,717
Kapawe'no First Nation (Pakashan 150D),5,5
Swan River 150E,413,424
Sawridge 150G,42,40
Sawridge 150H,10,9
Peerless Trout 238,0,0
Fox Lake 162,2588,2639
Kapawe'no First Nation (Freeman 150B),44,44
John d'Or Prairie 215,730,742
Tall Cree 173,293,292
Tall Cree 173A,209,210
Beaver Ranch 163,15,15
Boyer 164,126,126
Child Lake 164A,178,179
Hay Lake 209,992,975
Bushe River 207,507,502
Upper Hay River 212,391,389
Woodland Cree 227,31,31
Little Buffalo,455,446
Carcajou 187,0,0
Desmarais1 *,121,118
Woodland Cree 2261 *,678,675
Woodland Cree 228,166,166
Fort Vermilion 173B,77,77
Loon Lake 2351 *,509,493
Kapawe'no 229,101,100
Fox Creek,1850,1841
Grande Cache3 *,--,--
Greenview No. 163 *,8868,8868
Valleyview,1724,1694
Sturgeon Lake 154,1334,1339
Sturgeon Lake 154A,40,40
Grande Prairie County No. 16 *,24550,25624
Hythe6 *,875,--
Beaverlodge,2342,2371
Wembley,1501,1529
Grande Prairie,66586,65614
Sexsmith,2511,2506
Peace River,6853,6741
Smoky River No. 1301 *,1960,1906
McLennan,715,719
Donnelly1 *,349,347
Falher,1037,1034
Girouxville,287,287
Birch Hills County,1567,1557
Spirit River No. 133,666,669
Rycroft,568,574
Spirit River,1022,998
Saddle Hills County,2414,2464
Fairview No. 136,1626,1603
Fairview,2912,2914
Peace No. 1351 *,1620,1603
Berwyn,595,598
Grimshaw,2687,2652
Horse Lakes 152B,504,505
Duncan's 151A,115,116
