Table 2b - Number of Vacancies by Rental Range and Type of Unit,,,,,,,,,,,,,,,,
,,Bachelor,Bachelor,Bachelor,1 Bedroom,1 Bedroom,1 Bedroom,2 Bedroom,2 Bedroom,2 Bedroom,3 Bedroom,3 Bedroom,3 Bedroom,4+ Bedroom,4+ Bedroom,4+ Bedroom
Community,Rental Range ($),Units,Vacant,%,Units,Vacant,%,Units,Vacant,%,Units,Vacant,%,Units,Vacant,%
Mclennan,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mclennan,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mclennan,650 - 799,-,-,-,11,0,0.0,12,0,0.0,-,-,-,-,-,-
Mclennan,800 - 949,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mclennan,"950 - 1,099",-,-,-,1,1,100.0,-,-,-,-,-,-,-,-,-
Mclennan,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mclennan,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Millet,,,,,,,,,,,,,,,,
Millet,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Millet,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Millet,650 - 799,-,-,-,1,0,0.0,-,-,-,-,-,-,-,-,-
Millet,800 - 949,-,-,-,3,0,0.0,12,0,0.0,-,-,-,-,-,-
Millet,"950 - 1,099",-,-,-,1,0,0.0,2,0,0.0,-,-,-,-,-,-
Millet,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Millet,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nanton,,,,,,,,,,,,,,,,
Nanton,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nanton,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nanton,650 - 799,-,-,-,-,-,-,10,0,0.0,8,0,0.0,-,-,-
Nanton,800 - 949,3,0,0.0,2,0,0.0,18,0,0.0,4,0,0.0,-,-,-
Nanton,"950 - 1,099",-,-,-,-,-,-,1,0,0.0,4,1,25.0,-,-,-
Nanton,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nanton,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olds,,,,,,,,,,,,,,,,
Olds,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olds,500 - 649,-,-,-,2,0,0.0,-,-,-,-,-,-,-,-,-
Olds,650 - 799,-,-,-,2,0,0.0,25,0,0.0,3,0,0.0,-,-,-
Olds,800 - 949,-,-,-,-,-,-,71,0,0.0,29,2,6.9,-,-,-
Olds,"950 - 1,099",-,-,-,1,0,0.0,11,0,0.0,-,-,-,-,-,-
Olds,"1,100 - 1,349",-,-,-,-,-,-,11,2,18.2,-,-,-,-,-,-
Olds,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peace River,,,,,,,,,,,,,,,,
Peace River,< 500,1,1,100.0,-,-,-,-,-,-,-,-,-,-,-,-
Peace River,500 - 649,3,1,33.3,-,-,-,2,0,0.0,-,-,-,-,-,-
Peace River,650 - 799,-,-,-,76,15,19.7,7,1,14.3,-,-,-,-,-,-
Peace River,800 - 949,-,-,-,51,7,13.7,160,38,23.8,1,0,0.0,-,-,-
Peace River,"950 - 1,099",-,-,-,25,4,16.0,55,2,3.6,49,4,8.2,-,-,-
Peace River,"1,100 - 1,349",-,-,-,21,1,4.8,61,3,4.9,22,1,4.5,-,-,-
Peace River,"1,350 +",-,-,-,1,0,0.0,69,3,4.3,30,0,0.0,-,-,-
Penhold,,,,,,,,,,,,,,,,
Penhold,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Penhold,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Penhold,650 - 799,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Penhold,800 - 949,-,-,-,-,-,-,4,0,0.0,3,0,0.0,-,-,-
Penhold,"950 - 1,099",-,-,-,-,-,-,4,0,0.0,1,0,0.0,-,-,-
Penhold,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Penhold,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pincher Creek,,,,,,,,,,,,,,,,
Pincher Creek,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pincher Creek,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pincher Creek,650 - 799,-,-,-,4,0,0.0,35,0,0.0,-,-,-,-,-,-
Pincher Creek,800 - 949,-,-,-,-,-,-,13,0,0.0,-,-,-,-,-,-
Pincher Creek,"950 - 1,099",-,-,-,-,-,-,-,-,-,4,0,0.0,-,-,-
Pincher Creek,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,4,2,50.0,-,-,-
Pincher Creek,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ponoka,,,,,,,,,,,,,,,,
Ponoka,< 500,1,0,0.0,2,0,0.0,-,-,-,-,-,-,-,-,-
Ponoka,500 - 649,-,-,-,3,0,0.0,-,-,-,-,-,-,-,-,-
Ponoka,650 - 799,4,1,25.0,18,1,5.6,8,0,0.0,-,-,-,-,-,-
Ponoka,800 - 949,-,-,-,24,0,0.0,108,2,1.9,2,0,0.0,-,-,-
Ponoka,"950 - 1,099",-,-,-,5,0,0.0,21,1,4.8,4,0,0.0,-,-,-
Ponoka,"1,100 - 1,349",-,-,-,2,0,0.0,4,0,0.0,5,0,0.0,-,-,-
Ponoka,"1,350 +",-,-,-,-,-,-,-,-,-,7,4,57.1,-,-,-
Provost,,,,,,,,,,,,,,,,
Provost,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Provost,500 - 649,-,-,-,3,2,66.7,-,-,-,-,-,-,-,-,-
Provost,650 - 799,-,-,-,2,1,50.0,11,2,18.2,1,0,0.0,-,-,-
Provost,800 - 949,-,-,-,1,0,0.0,2,0,0.0,-,-,-,-,-,-
Provost,"950 - 1,099",-,-,-,4,0,0.0,-,-,-,-,-,-,-,-,-
Provost,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Provost,"1,350 +",-,-,-,-,-,-,2,0,0.0,-,-,-,-,-,-
Raymond,,,,,,,,,,,,,,,,
Raymond,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Raymond,500 - 649,-,-,-,2,0,0.0,-,-,-,-,-,-,-,-,-
Raymond,650 - 799,-,-,-,-,-,-,2,0,0.0,-,-,-,-,-,-
Raymond,800 - 949,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Raymond,"950 - 1,099",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Raymond,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Raymond,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rimbey,,,,,,,,,,,,,,,,
Rimbey,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rimbey,500 - 649,-,-,-,1,0,0.0,-,-,-,-,-,-,-,-,-
Rimbey,650 - 799,-,-,-,9,0,0.0,10,0,0.0,-,-,-,-,-,-
Rimbey,800 - 949,-,-,-,-,-,-,11,1,9.1,-,-,-,-,-,-
Rimbey,"950 - 1,099",-,-,-,-,-,-,1,0,0.0,-,-,-,-,-,-
Rimbey,"1,100 - 1,349",-,-,-,-,-,-,2,0,0.0,-,-,-,-,-,-
Rimbey,"1,350 +",-,-,-,-,-,-,-,-,-,1,0,0.0,1,0,0.0
Rocky Mountain House,,,,,,,,,,,,,,,,
Rocky Mountain House,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rocky Mountain House,500 - 649,-,-,-,-,-,-,2,0,0.0,-,-,-,-,-,-
Rocky Mountain House,650 - 799,-,-,-,15,6,40.0,4,0,0.0,-,-,-,-,-,-
Rocky Mountain House,800 - 949,2,0,0.0,29,4,13.8,73,14,19.2,-,-,-,-,-,-
Rocky Mountain House,"950 - 1,099",-,-,-,2,0,0.0,28,4,14.3,11,2,18.2,-,-,-
Rocky Mountain House,"1,100 - 1,349",-,-,-,3,0,0.0,5,0,0.0,3,0,0.0,-,-,-
Rocky Mountain House,"1,350 +",-,-,-,-,-,-,9,0,0.0,-,-,-,-,-,-
Sexsmith,,,,,,,,,,,,,,,,
Sexsmith,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sexsmith,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sexsmith,650 - 799,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sexsmith,800 - 949,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sexsmith,"950 - 1,099",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sexsmith,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sexsmith,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Slave Lake,,,,,,,,,,,,,,,,
Slave Lake,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Slave Lake,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Slave Lake,650 - 799,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Slave Lake,800 - 949,-,-,-,25,2,8.0,-,-,-,-,-,-,-,-,-
Slave Lake,"950 - 1,099",-,-,-,-,-,-,21,3,14.3,1,0,0.0,-,-,-
Slave Lake,"1,100 - 1,349",6,0,0.0,32,0,0.0,34,0,0.0,60,3,5.0,-,-,-
Slave Lake,"1,350 +",-,-,-,-,-,-,50,0,0.0,35,10,28.6,-,-,-
Smoky Lake,,,,,,,,,,,,,,,,
Smoky Lake,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Smoky Lake,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Smoky Lake,650 - 799,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Smoky Lake,800 - 949,-,-,-,10,1,10.0,2,0,0.0,3,0,0.0,-,-,-
Smoky Lake,"950 - 1,099",-,-,-,5,0,0.0,-,-,-,1,0,0.0,-,-,-
Smoky Lake,"1,100 - 1,349",-,-,-,2,0,0.0,7,0,0.0,-,-,-,-,-,-
Smoky Lake,"1,350 +",-,-,-,-,-,-,3,1,33.3,-,-,-,-,-,-
Spirit River,,,,,,,,,,,,,,,,
Spirit River,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spirit River,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spirit River,650 - 799,-,-,-,-,-,-,4,0,0.0,-,-,-,-,-,-
Spirit River,800 - 949,-,-,-,5,1,20.0,6,0,0.0,-,-,-,-,-,-
Spirit River,"950 - 1,099",-,-,-,-,-,-,-,-,-,4,1,25.0,-,-,-
Spirit River,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spirit River,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
St. Paul,,,,,,,,,,,,,,,,
St. Paul,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
St. Paul,500 - 649,-,-,-,1,0,0.0,-,-,-,-,-,-,-,-,-
St. Paul,650 - 799,5,1,20.0,20,6,30.0,15,2,13.3,-,-,-,-,-,-
St. Paul,800 - 949,-,-,-,55,12,21.8,52,5,9.6,-,-,-,-,-,-
St. Paul,"950 - 1,099",-,-,-,16,3,18.8,111,23,20.7,2,0,0.0,-,-,-
St. Paul,"1,100 - 1,349",-,-,-,1,1,100.0,21,0,0.0,18,1,5.6,1,0,0.0
St. Paul,"1,350 +",-,-,-,-,-,-,-,-,-,1,1,100.0,-,-,-
Stettler,,,,,,,,,,,,,,,,
Stettler,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stettler,500 - 649,1,0,0.0,-,-,-,1,0,0.0,-,-,-,-,-,-
Stettler,650 - 799,1,0,0.0,30,4,13.3,72,16,22.2,-,-,-,-,-,-
Stettler,800 - 949,-,-,-,18,0,0.0,8,0,0.0,-,-,-,-,-,-
Stettler,"950 - 1,099",-,-,-,-,-,-,48,5,10.4,12,2,16.7,-,-,-
Stettler,"1,100 - 1,349",-,-,-,-,-,-,7,0,0.0,-,-,-,-,-,-
Stettler,"1,350 +",-,-,-,-,-,-,-,-,-,16,3,18.8,-,-,-
Sundre,,,,,,,,,,,,,,,,
Sundre,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sundre,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sundre,650 - 799,1,0,0.0,3,0,0.0,-,-,-,-,-,-,-,-,-
Sundre,800 - 949,-,-,-,9,1,11.1,-,-,-,-,-,-,-,-,-
Sundre,"950 - 1,099",-,-,-,-,-,-,21,0,0.0,4,0,0.0,-,-,-
Sundre,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sundre,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Swan Hills,,,,,,,,,,,,,,,,
Swan Hills,< 500,20,15,75.0,-,-,-,-,-,-,-,-,-,-,-,-
Swan Hills,500 - 649,-,-,-,23,10,43.5,-,-,-,-,-,-,-,-,-
Swan Hills,650 - 799,-,-,-,12,0,0.0,3,1,33.3,2,0,0.0,-,-,-
Swan Hills,800 - 949,-,-,-,-,-,-,8,0,0.0,3,0,0.0,-,-,-
Swan Hills,"950 - 1,099",-,-,-,-,-,-,9,1,11.1,-,-,-,-,-,-
Swan Hills,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,5,0,0.0,-,-,-
Swan Hills,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Taber,,,,,,,,,,,,,,,,
Taber,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Taber,500 - 649,-,-,-,5,0,0.0,-,-,-,-,-,-,-,-,-
Taber,650 - 799,2,0,0.0,28,0,0.0,32,0,0.0,-,-,-,-,-,-
Taber,800 - 949,-,-,-,5,0,0.0,57,6,10.5,16,1,6.3,-,-,-
Taber,"950 - 1,099",-,-,-,-,-,-,16,0,0.0,4,0,0.0,-,-,-
Taber,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,17,1,5.9,-,-,-
Taber,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tofield,,,,,,,,,,,,,,,,
Tofield,< 500,1,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
Tofield,500 - 649,-,-,-,4,0,0.0,1,0,0.0,-,-,-,-,-,-
Tofield,650 - 799,-,-,-,-,-,-,5,0,0.0,-,-,-,-,-,-
Tofield,800 - 949,-,-,-,-,-,-,7,0,0.0,1,0,0.0,-,-,-
Tofield,"950 - 1,099",-,-,-,-,-,-,-,-,-,6,0,0.0,-,-,-
Tofield,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tofield,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Two Hills,,,,,,,,,,,,,,,,
Two Hills,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Two Hills,500 - 649,-,-,-,8,0,0.0,-,-,-,-,-,-,-,-,-
Two Hills,650 - 799,-,-,-,3,0,0.0,20,1,5.0,-,-,-,-,-,-
Two Hills,800 - 949,-,-,-,-,-,-,1,0,0.0,-,-,-,-,-,-
Two Hills,"950 - 1,099",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Two Hills,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Two Hills,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Valleyview,,,,,,,,,,,,,,,,
Valleyview,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Valleyview,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Valleyview,650 - 799,1,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
Valleyview,800 - 949,-,-,-,3,1,33.3,-,-,-,-,-,-,-,-,-
Valleyview,"950 - 1,099",-,-,-,-,-,-,2,0,0.0,2,0,0.0,-,-,-
Valleyview,"1,100 - 1,349",-,-,-,-,-,-,1,0,0.0,-,-,-,-,-,-
Valleyview,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vegreville,,,,,,,,,,,,,,,,
Vegreville,< 500,1,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
Vegreville,500 - 649,1,0,0.0,-,-,-,1,0,0.0,-,-,-,-,-,-
Vegreville,650 - 799,4,3,75.0,44,5,11.4,16,5,31.3,-,-,-,-,-,-
Vegreville,800 - 949,-,-,-,-,-,-,47,6,12.8,2,0,0.0,-,-,-
Vegreville,"950 - 1,099",-,-,-,-,-,-,1,1,100.0,22,5,22.7,-,-,-
Vegreville,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vegreville,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,4,0,0.0
Vermilion,,,,,,,,,,,,,,,,
Vermilion,< 500,1,1,100.0,-,-,-,-,-,-,-,-,-,-,-,-
Vermilion,500 - 649,1,1,100.0,-,-,-,-,-,-,-,-,-,-,-,-
Vermilion,650 - 799,-,-,-,2,0,0.0,5,1,20.0,-,-,-,-,-,-
Vermilion,800 - 949,-,-,-,16,0,0.0,57,8,14.0,-,-,-,-,-,-
Vermilion,"950 - 1,099",-,-,-,-,-,-,8,0,0.0,27,8,29.6,-,-,-
Vermilion,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vermilion,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,1,0,0.0
Vulcan,,,,,,,,,,,,,,,,
Vulcan,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vulcan,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vulcan,650 - 799,-,-,-,-,-,-,2,0,0.0,3,0,0.0,-,-,-
Vulcan,800 - 949,-,-,-,5,0,0.0,5,0,0.0,1,0,0.0,-,-,-
Vulcan,"950 - 1,099",-,-,-,-,-,-,13,2,15.4,-,-,-,-,-,-
Vulcan,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vulcan,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wainwright,,,,,,,,,,,,,,,,
Wainwright,< 500,17,5,29.4,-,-,-,-,-,-,-,-,-,-,-,-
Wainwright,500 - 649,2,0,0.0,13,3,23.1,-,-,-,-,-,-,-,-,-
Wainwright,650 - 799,-,-,-,40,7,17.5,-,-,-,-,-,-,-,-,-
Wainwright,800 - 949,-,-,-,23,0,0.0,68,15,22.1,7,1,14.3,-,-,-
Wainwright,"950 - 1,099",-,-,-,10,1,10.0,2,0,0.0,6,1,16.7,-,-,-
Wainwright,"1,100 - 1,349",-,-,-,6,0,0.0,60,4,6.7,47,2,4.3,-,-,-
Wainwright,"1,350 +",-,-,-,-,-,-,1,0,0.0,23,3,13.0,-,-,-
Westlock,,,,,,,,,,,,,,,,
Westlock,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Westlock,500 - 649,1,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
Westlock,650 - 799,-,-,-,37,2,5.4,14,0,0.0,-,-,-,-,-,-
Westlock,800 - 949,-,-,-,13,7,53.8,107,29,27.1,16,6,37.5,-,-,-
Westlock,"950 - 1,099",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Westlock,"1,100 - 1,349",-,-,-,-,-,-,9,3,33.3,2,0,0.0,-,-,-
Westlock,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Whitecourt,,,,,,,,,,,,,,,,
Whitecourt,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Whitecourt,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Whitecourt,650 - 799,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Whitecourt,800 - 949,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Whitecourt,"950 - 1,099",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Whitecourt,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Whitecourt,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
