Table 2b - Number of Vacancies by Rental Range and Type of Unit,,,,,,,,,,,,,,,,
,,Bachelor,Bachelor,Bachelor,1 Bedroom,1 Bedroom,1 Bedroom,2 Bedroom,2 Bedroom,2 Bedroom,3 Bedroom,3 Bedroom,3 Bedroom,4+ Bedroom,4+ Bedroom,4+ Bedroom
Community,Rental Range ($),Units,Vacant,%,Units,Vacant,%,Units,Vacant,%,Units,Vacant,%,Units,Vacant,%
Bow Island,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bowden,,,,,,,,,,,,,,,,
Bowden,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bowden,500 - 649,1,0,0.0,3,0,0.0,1,0,0.0,-,-,-,-,-,-
Bowden,650 - 799,-,-,-,2,0,0.0,5,0,0.0,-,-,-,-,-,-
Bowden,800 - 949,-,-,-,2,0,0.0,3,0,0.0,-,-,-,-,-,-
Bowden,"950 - 1,099",-,-,-,-,-,-,5,0,0.0,-,-,-,-,-,-
Bowden,"1,100 - 1,349",-,-,-,-,-,-,2,0,0.0,-,-,-,-,-,-
Bowden,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bruderheim,,,,,,,,,,,,,,,,
Bruderheim,< 500,-,-,-,-,-,-,4,1,25.0,4,3,75.0,-,-,-
Bruderheim,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bruderheim,650 - 799,4,2,50.0,-,-,-,-,-,-,-,-,-,-,-,-
Bruderheim,800 - 949,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bruderheim,"950 - 1,099",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bruderheim,"1,100 - 1,349",-,-,-,36,19,52.8,-,-,-,-,-,-,-,-,-
Bruderheim,"1,350 +",-,-,-,-,-,-,32,11,34.4,-,-,-,-,-,-
Cardston,,,,,,,,,,,,,,,,
Cardston,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cardston,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cardston,650 - 799,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cardston,800 - 949,-,-,-,-,-,-,6,0,0.0,2,0,0.0,-,-,-
Cardston,"950 - 1,099",-,-,-,-,-,-,1,0,0.0,-,-,-,-,-,-
Cardston,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cardston,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carstairs,,,,,,,,,,,,,,,,
Carstairs,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carstairs,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carstairs,650 - 799,-,-,-,-,-,-,2,0,0.0,-,-,-,-,-,-
Carstairs,800 - 949,-,-,-,-,-,-,4,0,0.0,2,0,0.0,-,-,-
Carstairs,"950 - 1,099",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carstairs,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carstairs,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Claresholm,,,,,,,,,,,,,,,,
