Table 8: Weighted Rents by Bedroom Type and Overall Vacancy Rates by Community
Crowsnest Pass,4+ Bedroom,"1,300",950,"1,400","1,200",0,0,0,0,0
Crowsnest Pass,Bachelor,300,408,300,300,300,380,0,487,380
Crowsnest Pass,Overall Vacancy Rate,8,7,12,15,8,9,18,14,17
Didsbury,1 - Bedroom,639,656,698,733,736,741,742,710,"1,000"
Didsbury,2 - Bedroom,891,978,970,999,"1,068","1,029","1,035",625,"1,203"
Didsbury,3 - Bedroom,793,830,887,928,915,853,930,940,961
,Overall Vacancy Rate,9,5,0,9,7,11,14,1,0
Drayton Valley,1 - Bedroom,785,840,856,852,772,745,740,774,811
Drayton Valley,2 - Bedroom,915,"1,000","1,035","1,041",922,872,888,871,876
Drayton Valley,3 - Bedroom,"1,030","1,141","1,168","1,248","1,120","1,046","1,067","1,031","1,125"
Drayton Valley,Bachelor,670,795,712,770,668,669,644,633,692
Drayton Valley,Overall Vacancy Rate,1,2,3,10,33,14,18,21,14
Drumheller,1 - Bedroom,660,675,736,737,740,729,734,719,800
Drumheller,2 - Bedroom,716,733,746,769,772,771,775,804,845
Drumheller,3 - Bedroom,583,675,710,750,750,730,750,758,825
Drumheller,Bachelor,500,544,486,544,556,600,613,613,0
Drumheller,Overall Vacancy Rate,3,2,4,7,9,10,18,17,6
Eckville,1 - Bedroom,500,500,500,0,500,0,500,500,0
Eckville,2 - Bedroom,653,647,646,713,701,859,752,700,775
Eckville,3 - Bedroom,671,708,715,780,842,853,868,884,806
Eckville,Overall Vacancy Rate,7,6,0,4,8,10,3,5,7
Edson,1 - Bedroom,790,806,854,884,881,848,846,906,910
Edson,2 - Bedroom,933,954,"1,026","1,030","1,023","1,017","1,021","1,045","1,008"
Edson,3 - Bedroom,"1,051","1,132","1,256","1,276","1,225","1,240","1,240","1,194","1,213"
Edson,Bachelor,779,806,808,823,777,730,750,780,800
Edson,Overall Vacancy Rate,2,4,4,6,17,7,9,2,4
Elk Point,1 - Bedroom,700,775,875,764,750,0,750,0,0
Elk Point,2 - Bedroom,810,893,981,922,839,744,799,0,0
Elk Point,3 - Bedroom,900,"1,044","1,119","1,100","1,000",0,950,0,0
Elk Point,Overall Vacancy Rate,0,0,2,5,39,25,35,0,0
Fairview,1 - Bedroom,564,623,623,714,688,699,691,711,745
Fairview,2 - Bedroom,675,712,705,788,792,784,758,828,851
Fairview,3 - Bedroom,792,753,758,754,793,741,780,825,725
Fairview,Bachelor,500,0,0,600,600,600,600,650,700
Fairview,Overall Vacancy Rate,8,1,4,9,18,9,7,6,2
Falher,1 - Bedroom,588,563,579,648,705,707,732,699,738
Falher,2 - Bedroom,741,760,781,799,813,832,821,830,819
Falher,3 - Bedroom,655,659,659,801,857,868,886,900,907
Falher,Bachelor,425,350,350,350,450,0,525,500,550
Falher,Overall Vacancy Rate,11,7,0,16,15,10,16,4,11
Fort Macleod,1 - Bedroom,566,603,655,661,652,691,638,621,742
Fort Macleod,2 - Bedroom,723,736,773,786,835,811,816,850,898
Fort Macleod,3 - Bedroom,796,788,788,788,930,0,"1,110","1,250","1,165"
Fort Macleod,4+ Bedroom,0,0,"1,200","1,200","1,200",0,"1,200","1,275","1,288"
Fort Macleod,Bachelor,500,450,700,638,556,560,560,700,800
Fort Macleod,Overall Vacancy Rate,9,6,10,7,22,9,14,8,2
Fox Creek,1 - Bedroom,645,727,846,879,871,946,"1,023",859,897
Fox Creek,2 - Bedroom,894,940,"1,013","1,130","1,102","1,118","1,588","1,343","1,719"
Fox Creek,3 - Bedroom,973,"1,119","1,259","1,529","1,528","1,828","1,961","1,886","2,300"
Fox Creek,4+ Bedroom,"1,000","1,500","2,800",0,0,0,0,0,0
Fox Creek,Bachelor,550,516,733,783,750,967,0,900,"1,050"
Fox Creek,Overall Vacancy Rate,3,4,7,5,14,5,1,52,58
Grande Cache,1 - Bedroom,777,862,746,757,665,575,599,625,683
Grande Cache,2 - Bedroom,909,964,886,894,780,645,662,740,786
Grande Cache,3 - Bedroom,"1,295","1,344","1,164","1,152","1,009",773,897,800,"1,345"
Grande Cache,Bachelor,675,680,546,588,583,0,500,0,642
Grande Cache,Overall Vacancy Rate,6,4,20,41,47,64,43,56,15
Grimshaw,1 - Bedroom,724,772,837,891,859,700,921,933,940
Grimshaw,2 - Bedroom,829,885,"1,014","1,023",992,891,953,983,987
Grimshaw,3 - Bedroom,788,850,850,"1,000",950,0,0,0,0
Grimshaw,Overall Vacancy Rate,6,8,6,5,22,16,13,8,8
Hanna,1 - Bedroom,525,600,575,575,567,543,564,0,650
Hanna,2 - Bedroom,668,686,668,655,664,720,693,641,741
Hanna,3 - Bedroom,672,666,681,672,656,656,678,645,640
Hanna,Overall Vacancy Rate,10,8,2,16,2,23,10,16,8
High Level,1 - Bedroom,705,719,749,737,774,779,821,878,817
High Level,2 - Bedroom,841,876,895,910,921,938,969,"1,028","1,042"
High Level,3 - Bedroom,"1,048","1,088","1,085","1,091","1,045","1,136","1,073","1,350","1,237"
High Level,Bachelor,600,600,667,667,650,600,667,733,0
